Date,lyondbsl
9/22/2021,68.81928253
9/23/2021,70.41094971
9/24/2021,70.22989655
9/27/2021,72.4778595
9/28/2021,72.68907928
9/29/2021,72.31192017
9/30/2021,70.7956543
10/1/2021,72.28928375
10/4/2021,71.41425323
10/5/2021,72.96818542
10/6/2021,72.24402618
10/7/2021,73.89604187
10/8/2021,73.8884964
10/11/2021,73.48116302
10/12/2021,73.06626129
10/13/2021,72.6287384
10/14/2021,74.17514801
10/15/2021,74.75598145
10/18/2021,74.24304962
10/19/2021,74.38636017
10/20/2021,75.02755737
10/21/2021,72.83995056
10/22/2021,73.46606445
10/25/2021,73.63201141
10/26/2021,73.6546402
10/27/2021,71.24827576
10/28/2021,72.67398834
10/29/2021,70.01868439
11/1/2021,71.12003326
11/2/2021,71.18792725
11/3/2021,70.58444214
11/4/2021,68.70612335
11/5/2021,70.13183594
11/8/2021,70.35813904
11/9/2021,70.01114655
11/10/2021,70.02622223
11/11/2021,71.42930603
11/12/2021,71.95735931
11/15/2021,71.82913208
11/16/2021,70.15447235
11/17/2021,69.39257813
11/18/2021,68.84189606
11/19/2021,67.43881989
11/22/2021,69.9960556
11/23/2021,70.48639679
11/24/2021,69.06819916
11/26/2021,68.31206512
11/29/2021,68.10585785
11/30/2021,66.54775238
12/1/2021,64.57720184
12/2/2021,65.36389923
12/3/2021,66.73104858
12/6/2021,67.91490173
12/7/2021,68.8237915
12/8/2021,69.12165833
12/9/2021,68.70158386
12/10/2021,68.6710434
12/13/2021,66.94490814
12/14/2021,68.0982132
12/15/2021,66.47900391
12/16/2021,68.06002045
12/17/2021,67.02893829
12/20/2021,66.37207031
12/21/2021,67.45664215
12/22/2021,67.22751617
12/23/2021,69.15985107
12/27/2021,70.01528168
12/28/2021,70.81726074
12/29/2021,70.77906799
12/30/2021,70.40480804
12/31/2021,70.44300842
1/3/2022,71.15331268
1/4/2022,74.05565643
1/5/2022,73.52864838
1/6/2022,73.85706329
1/7/2022,74.55210876
1/10/2022,74.69722748
1/11/2022,75.86580658
1/12/2022,76.29350281
1/13/2022,77.42391968
1/14/2022,78.52373505
1/18/2022,77.12604523
1/19/2022,77.0496521
1/20/2022,73.52864838
1/21/2022,71.90945435
1/24/2022,71.32900238
1/25/2022,71.19150543
1/26/2022,71.05402374
1/27/2022,73.20787048
1/28/2022,73.38354492
1/31/2022,73.87997437
2/1/2022,76.01855469
2/2/2022,76.63720703
2/3/2022,76.38516998
2/4/2022,76.545578
2/7/2022,75.98036957
2/8/2022,77.37044525
2/9/2022,78.35571289
2/10/2022,77.97381592
2/11/2022,77.72940826
2/14/2022,76.49210358
2/15/2022,77.78288269
2/16/2022,78.78343201
2/17/2022,77.10312653
2/18/2022,76.25533295
2/22/2022,76.04147339
2/23/2022,75.20132446
2/24/2022,72.14620972
2/25/2022,74.84998322
2/28/2022,74.26187134
3/1/2022,71.35189819
3/2/2022,74.7048645
3/3/2022,76.24005127
3/4/2022,75.03491974
3/7/2022,73.21949005
3/8/2022,74.16197205
