Date,covestro
7/8/2021,50.15077972
7/9/2021,51.94584274
7/12/2021,52.26044083
7/13/2021,52.61205292
7/14/2021,53.11171341
7/15/2021,52.94515991
7/16/2021,52.20492172
7/19/2021,50.00273132
7/20/2021,50.85400009
7/21/2021,51.79779816
7/22/2021,51.39067078
7/23/2021,52.00136185
7/26/2021,52.29745483
7/27/2021,51.72377396
7/28/2021,50.85400009
7/29/2021,50.42836761
7/30/2021,50.20629501
8/2/2021,50.29882431
8/3/2021,50.5579071
8/4/2021,50.5949173
8/5/2021,50.29882431
8/6/2021,50.05824661
8/9/2021,50.6504364
8/10/2021,51.61273575
8/11/2021,51.27963257
8/12/2021,51.76078415
8/13/2021,51.96434784
8/16/2021,51.33515167
8/17/2021,50.81698608
8/18/2021,51.11308289
8/19/2021,49.42905045
8/20/2021,48.85536957
8/23/2021,49.13295746
8/24/2021,50.48388672
8/25/2021,50.81698608
8/26/2021,50.92802429
8/27/2021,51.35365677
8/30/2021,52.44549942
8/31/2021,50.7984848
9/1/2021,51.05756378
9/2/2021,52.74159241
9/3/2021,53.0006752
9/6/2021,53.62987137
9/7/2021,53.59286118
9/8/2021,53.98148346
9/9/2021,54.29608154
9/10/2021,54.35160065
9/13/2021,54.70320892
9/14/2021,54.49964905
9/15/2021,53.22274399
9/16/2021,53.83343887
9/17/2021,52.76010132
9/20/2021,50.7429657
9/21/2021,50.4098587
9/22/2021,51.20561218
9/23/2021,51.55722427
9/24/2021,52.13090134
9/27/2021,52.70458221
9/28/2021,53.50033188
9/29/2021,54.74022293
9/30/2021,54.90677643
10/1/2021,53.66688538
10/4/2021,53.59286118
10/5/2021,53.05619431
10/6/2021,51.26113129
10/7/2021,52.63056183
10/8/2021,53.20423889
10/11/2021,54.29608154
10/12/2021,54.33309555
10/13/2021,54.38861084
10/14/2021,54.01849747
10/15/2021,53.92596436
10/18/2021,52.14940643
10/19/2021,51.94584274
10/20/2021,51.27963257
10/21/2021,50.89101028
10/22/2021,51.24262238
10/25/2021,51.85331345
10/26/2021,52.13090134
10/27/2021,52.33446884
10/28/2021,51.40917587
10/29/2021,51.26113129
11/1/2021,51.57572937
11/2/2021,50.61342621
11/3/2021,50.87250519
11/4/2021,50.15077972
11/5/2021,50.42836761
11/8/2021,50.53939819
11/9/2021,51.15009308
11/10/2021,50.9095192
11/11/2021,51.33515167
11/12/2021,52.09389114
11/15/2021,51.83480835
11/16/2021,51.77928925
11/17/2021,51.89032745
11/18/2021,53.33377838
11/19/2021,52.09389114
11/22/2021,52.40848923
11/23/2021,52.37147522
11/24/2021,51.07606888
11/25/2021,50.81698608
11/26/2021,47.39341354
11/29/2021,46.89375305
11/30/2021,46.11650848
12/1/2021,47.83755112
12/2/2021,47.50444794
12/3/2021,46.91226196
12/6/2021,47.31938553
12/7/2021,47.31938553
12/8/2021,48.4667511
12/9/2021,48.1336441
12/10/2021,48.2261734
12/13/2021,47.63398743
12/14/2021,47.61547852
12/15/2021,47.28237534
12/16/2021,48.09663391
12/17/2021,48.078125
12/20/2021,47.24536514
12/21/2021,47.76352692
12/22/2021,47.93008041
12/23/2021,48.72583008
12/27/2021,49.24399567
12/28/2021,49.79916763
12/29/2021,49.79916763
12/30/2021,50.15077972
1/3/2022,50.9095192
1/4/2022,51.77928925
1/5/2022,52.88964081
1/6/2022,52.61205292
1/7/2022,53.1857338
1/10/2022,52.05687714
1/11/2022,51.96434784
1/12/2022,51.44618607
1/13/2022,51.70526886
1/14/2022,51.48319626
1/17/2022,50.98353958
1/18/2022,49.92870712
1/19/2022,49.96572113
1/20/2022,49.04042816
1/21/2022,48.89238358
1/24/2022,47.43041992
1/25/2022,47.11582184
1/26/2022,49.63261414
1/27/2022,50.6504364
1/28/2022,49.74364853
1/31/2022,48.91088867
2/1/2022,49.48456955
2/2/2022,50.48388672
2/3/2022,49.78066254
2/4/2022,48.67031097
2/7/2022,48.85536957
2/8/2022,49.94721603
2/9/2022,50.09526062
2/10/2022,50.4098587
2/11/2022,50.22480011
2/14/2022,48.78134918
2/15/2022,50.42836761
2/16/2022,50.5949173
2/17/2022,50.05824661
2/18/2022,48.85536957
2/21/2022,47.89306641
2/22/2022,47.15283585
