Date,basf
4/21/2021,52.04533005
4/22/2021,51.35744476
4/23/2021,51.53307724
4/26/2021,52.21364594
4/27/2021,52.00873947
4/28/2021,51.87701797
4/29/2021,51.60624695
4/30/2021,51.49877167
5/3/2021,51.4834137
5/4/2021,51.30684662
5/5/2021,53.24917603
5/6/2021,53.90942001
5/7/2021,54.03224945
5/10/2021,54.32398987
5/11/2021,53.16472626
5/12/2021,53.07260132
5/13/2021,52.90370178
5/14/2021,53.07260132
5/17/2021,53.09563446
5/18/2021,52.94976044
5/19/2021,51.62160873
5/20/2021,51.92869568
5/21/2021,52.08223343
5/25/2021,51.52180481
5/26/2021,51.24542236
5/27/2021,50.95369339
5/28/2021,51.55251312
5/31/2021,51.17633057
6/1/2021,52.16668701
6/2/2021,52.30487823
6/3/2021,52.47377777
6/4/2021,52.62732315
6/7/2021,52.59661102
6/8/2021,52.39700699
6/9/2021,51.78282547
6/10/2021,51.57554245
6/11/2021,51.82889557
6/14/2021,51.62160873
6/15/2021,51.47574615
6/16/2021,51.03046036
6/17/2021,50.75408173
6/18/2021,49.56411362
6/21/2021,50.43164063
6/22/2021,50.78479004
6/23/2021,50.13222885
6/24/2021,50.37022018
6/25/2021,50.70801926
6/28/2021,50.13222885
6/29/2021,51.30684662
6/30/2021,51.00743103
7/1/2021,51.58322144
7/2/2021,51.57554245
7/5/2021,51.82121277
7/6/2021,50.70034027
7/7/2021,50.97672272
7/8/2021,50.47002029
7/9/2021,52.2127533
7/12/2021,52.28184509
7/13/2021,52.12830353
7/14/2021,52.1436615
7/15/2021,51.74444199
7/16/2021,51.44503784
7/19/2021,49.54875946
7/20/2021,50.20899963
7/21/2021,51.04581451
7/22/2021,51.07652283
7/23/2021,51.45270538
7/26/2021,51.79050827
7/27/2021,51.49877167
7/28/2021,50.9844017
7/29/2021,51.25309753
7/30/2021,50.83853531
8/2/2021,50.73104858
8/3/2021,51.19168472
8/4/2021,51.10723495
8/5/2021,51.49877167
8/6/2021,51.49877167
8/9/2021,51.62160873
8/10/2021,51.80586624
8/11/2021,52.2127533
8/12/2021,52.78086472
8/13/2021,53.09563446
8/16/2021,52.40468597
8/17/2021,52.02082443
8/18/2021,52.22042847
8/19/2021,50.30112457
8/20/2021,49.72533417
8/23/2021,50.06313324
8/24/2021,51.11491013
8/25/2021,50.99207306
8/26/2021,50.64659882
8/27/2021,51.0534935
8/30/2021,51.25309753
8/31/2021,50.30112457
9/1/2021,49.59481812
9/2/2021,49.84816742
9/3/2021,49.75604248
9/6/2021,50.13222885
9/7/2021,50.09384537
9/8/2021,49.83281708
9/9/2021,49.61785126
9/10/2021,49.56411362
9/13/2021,50.37022018
9/14/2021,50.33951187
9/15/2021,49.75604248
9/16/2021,49.97100067
9/17/2021,48.43556213
9/20/2021,47.42216873
9/21/2021,47.89815521
9/22/2021,48.75800705
9/23/2021,49.08812332
9/24/2021,48.97296906
9/27/2021,49.68694687
9/28/2021,49.75604248
9/29/2021,50.53911972
9/30/2021,50.55447388
10/1/2021,49.59481812
10/4/2021,49.54108429
10/5/2021,49.60250092
10/6/2021,47.52964783
10/7/2021,48.627491
10/8/2021,48.88851929
10/11/2021,49.28005981
10/12/2021,49.55643845
10/13/2021,49.82514191
10/14/2021,49.97100067
10/15/2021,49.90191269
10/18/2021,49.18025208
10/19/2021,48.93458176
10/20/2021,48.73497391
10/21/2021,48.21292114
10/22/2021,48.21292114
10/25/2021,48.5200119
10/26/2021,48.78103256
10/27/2021,48.71194077
10/28/2021,48.02099228
10/29/2021,47.81370544
11/1/2021,48.20524597
11/2/2021,47.7599678
11/3/2021,48.03634644
11/4/2021,47.22255707
11/5/2021,47.66016388
11/8/2021,47.62945557
11/9/2021,47.37610626
11/10/2021,47.56035614
11/11/2021,47.82138443
11/12/2021,48.09776306
11/15/2021,47.88280106
11/16/2021,48.24362946
11/17/2021,48.1207962
11/18/2021,48.08241272
11/19/2021,47.29933548
11/22/2021,47.54500198
11/23/2021,48.32808304
11/24/2021,47.51429749
11/25/2021,47.29933548
11/26/2021,44.45875931
11/29/2021,44.51250458
11/30/2021,44.43572998
12/1/2021,45.49518585
12/2/2021,45.35700226
12/3/2021,44.83495331
12/6/2021,45.74853897
12/7/2021,45.74853897
12/8/2021,46.28594208
12/9/2021,45.97885132
12/10/2021,45.93279266
12/13/2021,45.733181
12/14/2021,45.733181
12/15/2021,45.50286484
12/16/2021,46.32432938
12/17/2021,46.2091713
12/20/2021,45.34164429
12/21/2021,45.8406601
